,user_id,score,date,store,review_title,review_contents
159,gus1****,5,21.01.23.,애플 공식 브랜드스토어,배송도 빨리 왔고 양품 보내줘서 잘 사용하고 있어요확실히 화이트가 너무 예뻐요,배송도 빨리 왔고 양품 보내줘서 잘 사용하고 있어요확실히 화이트가 너무 예뻐요
160,cho1****,5,21.01.20.,프리스비애플프리미엄리셀러,아이폰12는 화이트가 제일 예쁜거 같아요배송도 빠르고 만족합니다!,아이폰12는 화이트가 제일 예쁜거 같아요배송도 빠르고 만족합니다!
161,kh82****,5,21.02.25.,애플 공식 브랜드스토어,매우 만족!! 배송도 매우 빠릅니다,매우 만족!! 배송도 매우 빠릅니다
162,jehe****,5,21.02.01.,프리스비애플프리미엄리셀러,화이트가 너무 이쁘네요 좋아요!!! 배송은 보통입니다!!,화이트가 너무 이쁘네요 좋아요!!! 배송은 보통입니다!!
163,oroi****,5,21.02.18.,애플 공식 브랜드스토어,이것저것 써보고 손에 붙으니 역시 아이폰이네요.,이것저것 써보고 손에 붙으니 역시 아이폰이네요.
164,neve****,5,21.05.24.,애플 공식 브랜드스토어,가볍고 이쁘고 화질도 좋고 되게 밝고 좋아요!!,가볍고 이쁘고 화질도 좋고 되게 밝고 좋아요!!
165,dbst****,5,21.05.26.,애플 공식 브랜드스토어,너무 예쁘고 깨끗해요 !ㅠㅠ 잘 산거같아요,너무 예쁘고 깨끗해요 !ㅠㅠ 잘 산거같아요
166,yy02****,5,21.02.06.,프리스비애플프리미엄리셀러,아이폰만 4개째인데 디자인이 괜찮네요,아이폰만 4개째인데 디자인이 괜찮네요
167,z*w*****,5,21.06.05.,하이마트쇼핑몰,선물용으로 구매했는데 너무 좋습,선물용으로 구매했는데 너무 좋습니다
168,924s****,5,21.02.06.,애플 공식 브랜드스토어,배송도 빠르고 역시 아이폰 이쁘네요,배송도 빠르고 역시 아이폰 이쁘네요
169,1224****,5,21.02.22.,애플 공식 브랜드스토어,화이트색상 영롱합니다. 역시 애뿔~,화이트색상 영롱합니다. 역시 애뿔~
170,yesu****,4,21.06.19.,프리스비애플프리미엄리셀러,아이폰 8 보단 커짐오줌 액정 같음.,아이폰 8 보단 커짐오줌 액정 같음.
171,d*a*****,5,21.06.20.,하이마트쇼핑몰,영롱한 자태.. 고민은 사치일뿐!,영롱한 자태.. 고민은 사치일뿐!
172,aq63****,5,21.01.26.,애플 공식 브랜드스토어,만족스럽습니다. 너무 예뻐요..,만족스럽습니다. 너무 예뻐요..
173,w*n*****,5,21.06.19.,인터파크,아이폰12,배송도 빠르고 잘 받았습니다.
174,psl8****,5,21.05.29.,애플 공식 브랜드스토어,빨리 오고 예쁘고 좋아요~~,빨리 오고 예쁘고 좋아요~~
175,k*y*****,4,21.06.08.,하이마트쇼핑몰,배달이 짱 빨라서 놀랐어요. 주문 ,배달이 짱 빨라서 놀랐어요. 주문 하고 다음날 바로 받아서 너무 좋았어요
176,skim****,5,21.06.20.,스마트베이비,"배송조회가 안되길래 불안했는데 판매자님께서 친절하고 정확하게 확인해주셨네요. 응답도 빠르시고, 감사합니당","배송조회가 안되길래 불안했는데 판매자님께서 친절하고 정확하게 확인해주셨네요. 응답도 빠르시고, 감사합니당"
177,qkrd****,5,21.06.06.,애플 공식 브랜드스토어,색깔이  예뻐요 ~~,색깔이  예뻐요 ~~
178,gkdu****,4,21.06.10.,프리스비애플프리미엄리셀러,프리스비가입해야 사은품주나봐요(필름 )참고하세오 네이버플러스멤버십해서 직접사는거보다 한 사만원싸게삿습니다,프리스비가입해야 사은품주나봐요(필름 )참고하세오 네이버플러스멤버십해서 직접사는거보다 한 사만원싸게삿습니다
179,0199****,5,21.05.20.,애플 공식 브랜드스토어,마이그레이션 하고 어플이 계속 로딩 중이라 구형 폰 쓰고 있어요 ㅎㅎㅎ 5G 요금제 쓰고싶지 않아 자급제 폰 구매했는데 컬러도 매력있고 좋아요 마음에듦 ❤️,마이그레이션 하고 어플이 계속 로딩 중이라 구형 폰 쓰고 있어요 ㅎㅎㅎ 5G 요금제 쓰고싶지 않아 자급제 폰 구매했는데 컬러도 매력있고 좋아요 마음에듦 ❤️
180,loki****,5,21.05.19.,애플 공식 브랜드스토어,선물용으로 구매했는데 배송도 빠르고 색상 실물 너무 예뻐요 ㅠㅠ,선물용으로 구매했는데 배송도 빠르고 색상 실물 너무 예뻐요 ㅠㅠ
181,gimi****,5,21.06.06.,애플 공식 브랜드스토어,금욜배송했는데 토욜 받았어요 ㅎㅎ 👍🏻 이쁘게 잘쓸게요,금욜배송했는데 토욜 받았어요 ㅎㅎ 👍🏻 이쁘게 잘쓸게요
182,ekfr****,5,21.06.07.,애플 공식 브랜드스토어,"막 찍어도 넘나 잘나와요 ,,,최곱니당 공식사이트라 믿음이갑니다 !!","막 찍어도 넘나 잘나와요 ,,,최곱니당 공식사이트라 믿음이갑니다 !!"
183,maeu****,5,21.06.05.,프리스비애플프리미엄리셀러,자급제폰 미개봉 새것 중에 제일 싸게 샀네요 좋습니다,자급제폰 미개봉 새것 중에 제일 싸게 샀네요 좋습니다
